id,cidade,lat,lon
3515350,Euclides da Cunha Paulista,-22.51884569016918,-52.58864515701162
3515400,Fartura,-23.389811589101914,-49.51917734986921
3515509,Fernandópolis,-20.27148438231553,-50.282558094402845
3515608,Fernando Prestes,-21.31014473091559,-48.69484025117485
3515657,Fernão,-22.365474379174447,-49.54199701234611
3515707,Ferraz de Vasconcelos,-23.560629865052103,-46.37352421908254
3515806,Flora Rica,-21.698346755835118,-51.37365049369679
3515905,Floreal,-20.669553781303307,-50.15453428286395
3516002,Flórida Paulista,-21.54002181281609,-51.17015572947322
3516101,Florínia,-22.88057121210087,-50.69439763568541
3516200,Franca,-20.554820528875602,-47.380559354911924
3516309,Francisco Morato,-23.273546768069775,-46.723026392113624
3516408,Franco da Rocha,-23.313944548063066,-46.73535130112681
3516507,Gabriel Monteiro,-21.49932795215077,-50.56426853636111
3516606,Gália,-22.32031931355143,-49.57728447122332
3516705,Garça,-22.230495724536734,-49.68925808116463
3516804,Gastão Vidigal,-20.803965879635566,-50.20228372477431
3516853,Gavião Peixoto,-21.791122010936636,-48.44735357959536
3516903,General Salgado,-20.63831240657329,-50.41517277112033
3517000,Getulina,-21.783458507845673,-50.02770863346491
3517109,Glicério,-21.339906075334763,-50.19841033170893
3517208,Guaiçara,-21.572178369227014,-49.76323148096099
3517307,Guaimbê,-21.87862415723453,-49.860062680905095
3517406,Guaíra,-20.313509106034907,-48.363572907809825
3517505,Guapiaçu,-20.742717865642785,-49.18986121713822
3517604,Guapiara,-24.212108211226777,-48.55507836726804
3517703,Guará,-20.481950509917993,-47.77514334325261
3517802,Guaraçaí,-21.086315419317515,-51.27914919968063
3517901,Guaraci,-20.374332919951318,-49.00228741927173
3518008,Guarani d'Oeste,-20.06623078023009,-50.34366538558055
3518107,Guarantã,-21.915609198315586,-49.5878623809189
3518206,Guararapes,-21.284833919731625,-50.694915018160614
3518305,Guararema,-23.4270293009465,-46.05803162647225
3518404,Guaratinguetá,-22.79314426684981,-45.23251489692465
3518503,Guareí,-23.369864435907026,-48.21877842981595
3518602,Guariba,-21.395574819697448,-48.22585540440586
3518701,Guarujá,-23.9510788580467,-46.23549501393342
3518800,Guarulhos,-23.40247053003391,-46.454879514546725
3518859,Guatapará,-21.452972999539714,-47.97953427812424
3518909,Guzolândia,-20.628388298365227,-50.71295007204005
3519006,Herculândia,-21.961949982221206,-50.37285152404343
3519055,Holambra,-22.629544974334653,-47.0647215329415
3519071,Hortolândia,-22.878222094815897,-47.20784868538835
3519105,Iacanga,-21.890622110708346,-49.03917397365913
3519204,Iacri,-21.799709257585565,-50.61894889593843
3519253,Iaras,-22.81864598277381,-49.10624032269858
3519303,Ibaté,-21.950806597138172,-48.027011666612985
3519402,Ibirá,-21.074147868775658,-49.219930524482905
3519501,Ibirarema,-22.81282318515397,-50.07626821588892
3519600,Ibitinga,-21.792559415134132,-48.84756369560296
3519709,Ibiúna,-23.80205371479802,-47.21488492007033
3519808,Icém,-20.366775022382843,-49.18496804241217
3519907,Iepê,-22.64794666757349,-51.05666747998778
3520004,Igaraçu do Tietê,-22.541164072678125,-48.57420822317766
3520103,Igarapava,-20.06340654638883,-47.681728894468876
3520202,Igaratá,-23.13471284844245,-46.14996658691851
3520301,Iguape,-24.549074863100362,-47.47425650919496
3520400,Ilhabela,-23.847869755156257,-45.323251489524814
3520426,Ilha Comprida,-24.859589696528484,-47.716693588986594
