MUNICIPIO,ID_MUNICIP,GVE,UNIDADE_DE_SAUDE,ENDERECO,TEM_SORO,TIPO_SORO,24H,TELEFONE,ACIDENTES,LATITUDE,LONGITUDE,BOTROPICO,CROTALICO,ELAPIDICO,LAQUETICO,LOXOSCELICO,FONEUTRICO,ESCORPIONICO,LONOMICO,lat,lon
PIQUEROBI,353830,GVE 22 PRESIDENTE VENCESLAU,POSTO DE SAUDE DRCRISTOVAN RUTHILLER T MACIEL,"R. Olávo Bilac, 166, Piquerobi - SP, 19410-000",0,,0,-,,-2.188.801,-5.172.890,0,0,0,0,0,0,0,0,-21.88801,-51.7289
PIQUETE,353850,GVE 33 TAUBATE,UNIDADE DE PRONTO ATENDIMENTO PIQUETE,"Avenida Olga Maria Ecklund, s/n - Centro, Piquete - SP, 12620-000",0,,1,(12) 3156-3400,,-2.261.127,-4.518.481,0,0,0,0,0,0,0,0,-22.61127,-45.18481
PIRACAIA,353860,GVE 17 CAMPINAS,SANTA CASA DE PIRACAIA,"Av. Dr. Cândido Rodrigues, 120 - Centro, Piracaia - SP, 12970-000",0,,1,(11) 4036-2010,,-2.305.531,-4.635.697,0,0,0,0,0,0,0,0,-23.05531,-46.35697
PIRACICABA,353870,GVE 20 PIRACICABA,SANTA CASA DE MISERICÓRDIA DE PIRACICABA,"AV. INDEPENDÊNCIA, 953",1,"Botrópico, Crotálico, Elapídico, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(19) 3417-5000,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.273.704,-4.764.343,1,1,1,0,1,1,1,1,-22.73704,-47.64343
PIRACICABA,353870,GVE 20 PIRACICABA,UPA VILA CRISTINA,"RUA DONA ANÉSIA, JARAGUÁ",1,Escorpiônico,1,(19) 3434-2296,ESCORPIÃO.,-2.274.113,-4.766.736,0,0,0,0,0,0,1,0,-22.74113,-47.66736
PIRAJU,353880,GVE 16 BOTUCATU,SOCIEDADE DE BENEFICÊNCIA - PIRAJU,"RUA 7 DE SETEMBRO, Nº 818",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(14) 3305-9444,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.319.688,-4.938.141,1,1,0,0,1,1,1,0,-23.19688,-49.38141
PIRAJUI,353890,GVE 15 BAURU,SANTA CASA DE PIRAJUÍ,"AVENIDA RUI BARBOSA LIMA, Nº 746",1,Escorpiônico,1,(14) 3572-1828,ESCORPIÃO.,-2.199.754,-4.945.833,0,0,0,0,0,0,1,0,-21.99754,-49.45833
PIRANGI,353900,GVE 29 SAO JOSE DO RIO PRETO,HOSPITAL BENEFICENTE JOSE PIRONDI,"Av. Carmem Lúcia Giglio Girade, 1901 - Centro, Pirangi - SP, 15820-000",0,,1,(17) 3386-1800,,-2.109.700,-4.867.063,0,0,0,0,0,0,0,0,-21.097,-48.67063
PIRAPORA DO BOM JESUS,353910,GVE 10 OSASCO,PRONTO ATENDIMENTO BENEDITO ZEFERINO DA SILVA,"Av. Maria José​ de Oliveira Bueno, S/n - Vila Nova, Pirapora do Bom Jesus - SP, 06550-000",0,,1,(11) 4131-5211,,-2.339.595,-4.700.545,0,0,0,0,0,0,0,0,-23.39595,-47.00545
PIRAPOZINHO,353920,GVE 21 PRESIDENTE PRUDENTE,PRONTO ATENDIMENTO MUNICIPAL - PIRAPOZINHO,"RUA EUCLIDES DA CUNHA, Nº 191",1,Escorpiônico,1,18 – 32692609,ESCORPIÃO.,-2.227.580,-5.149.391,0,0,0,0,0,0,1,0,-22.2758,-51.49391
PIRASSUNUNGA,353930,GVE 20 PIRACICABA,SANTA CASA DE MISERICÓRDIA - PIRASSUNUNGA,"AV. NEWTON PRADO, 1883",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico eEscorpiônico.",1,(19) 3655-8100,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.199.628,-4.742.252,1,1,0,0,1,1,1,0,-21.99628,-47.42252
PIRATININGA,353940,GVE 15 BAURU,SANTA CASA DE PIRATININGA,"R. Anchieta, 102 - Downtown, Piratininga - SP, 17490-000",0,,1,(14) 3265-1009,,-2.241.293,-4.913.217,0,0,0,0,0,0,0,0,-22.41293,-49.13217
PITANGUEIRAS,353950,GVE 24 RIBEIRAO PRETO,SANTA CASA DE PITANGUEIRAS,"R. Iguaçu, 510 - Jardim Brasilia, Pitangueiras - SP, 14750-000",0,,1,(16) 3952-1314,,-2.101.340,-4.821.566,0,0,0,0,0,0,0,0,-21.0134,-48.21566
PLANALTO,353960,GVE 29 SAO JOSE DO RIO PRETO,CS DE PLANALTO,"Rua Luiz Americo De Freitas, 846 - Centro, Planalto - SP, 15260-000",0,,0,1836951190,,-2.103.446,-4.992.807,0,0,0,0,0,0,0,0,-21.03446,-49.92807
PLATINA,353970,GVE 13 ASSIS,CENTRO DE SAUDE DE PLATINA,"R. Sebastião Moreira da Rocha, 310, Platina - SP, 19990-041",0,,0,(18) 3354-1105,,-2.263.376,-5.020.373,0,0,0,0,0,0,0,0,-22.63376,-50.20373
POA,353980,GVE 8 MOGI DAS CRUZES,PRONTO ATENDIMENTO DR GUIDO GUIDA,"Av. Felício Marinelli, 100 - Jardim Medina, Poá - SP, 08556-200",0,,1,(11) 4636-3200,,-2.351.589,-4.634.738,0,0,0,0,0,0,0,0,-23.51589,-46.34738
POLONI,353990,GVE 29 SAO JOSE DO RIO PRETO,UNIDADE BASICA DE SAUDE DE POLONI,"R. Antônio Mendes, 140 - Santo Antonio, Poloni - SP, 15162-004",0,,0,(17) 3819-9910,,-2.078.337,-4.981.769,0,0,0,0,0,0,0,0,-20.78337,-49.81769
POMPEIA,354000,GVE 19 MARILIA,SANTA CASA POMPEIA,"R. Luís Selani Neto, 345 - Slandria, Pompéia - SP, 17580-000",0,,1,(14) 3405-2010,,-2.210.101,-5.017.728,0,0,0,0,0,0,0,0,-22.10101,-50.17728
PONGAI,354010,GVE 15 BAURU,CENTRO DE SAUDE III DE PONGAI,"Av. João Francisco Alves, 277 - Centro, Pongaí - SP, 16660-000",0,,1,(14) 3581-1130,,-2.173.807,-4.935.768,0,0,0,0,0,0,0,0,-21.73807,-49.35768
PONTAL,354020,GVE 24 RIBEIRAO PRETO,SANTA CASA DE PONTAL,"R. Ananias da Costa Freitas, 691-705 - Jardim Res., Pontal - SP, 14180-000",0,,1,(16) 3953-9100,,-2.102.829,-4.803.782,0,0,0,0,0,0,0,0,-21.02829,-48.03782
PONTALINDA,354025,GVE 30 JALES,UBS DE PONTALINDA,"AV BRASIL, 1269",0,,0,(17) 3699-1113,,-2.044.105,-5.051.902,0,0,0,0,0,0,0,0,-20.44105,-50.51902
PONTES GESTAL,354030,GVE 29 SAO JOSE DO RIO PRETO,UNIDADE BASICA DE SAUDE ARNALDO ROMANO,"R. João Araújo Teixeira, 884, Pontes Gestal - SP, 15560-000",0,,1,(17) 3844-1266,,-2.018.141,-4.970.085,0,0,0,0,0,0,0,0,-20.18141,-49.70085
POPULINA,354040,GVE 30 JALES,SANTA CASA DE POPULINA,"R. Treze de Maio, 1099 - Centro Histórico de São Paulo, Populina - SP, 15670-000",0,,1,(17) 3639-1170,,-1.994.308,-5.054.017,0,0,0,0,0,0,0,0,-19.94308,-50.54017
PORANGABA,354050,GVE 16 BOTUCATU,PRONTO ATENDIMENTO MUNICIPAL - PORANGABA,"Rua Professor Antônio Freire de Souza, 344 - Centro, Porangaba - SP, 18260-000",0,,1,(15) 3257-1450,,-2.317.658,-4.812.355,0,0,0,0,0,0,0,0,-23.17658,-48.12355
PORTO FELIZ,354060,GVE 31 SOROCABA,SANTA CASA DE PORTO FELIZ,"R. Olavo Assumpção Fleury, 101 - Centro, Porto Feliz - SP, 18540-000",0,,1,(15) 3261-8800,,-2.320.419,-4.752.481,0,0,0,0,0,0,0,0,-23.20419,-47.52481
PORTO FERREIRA,354070,GVE 12 ARARAQUARA,HOSPITAL DONA BALBINA,"R. DR. CARLINDO VALERIANI, 337",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico eEscorpiônico.",1,(19) 3589-5500,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.185.427,-4.748.157,1,1,0,0,1,1,1,0,-21.85427,-47.48157
POTIM,354075,GVE 33 TAUBATE,UBSF WALDEMIR JOSE PEDROSO,"R. Padre Agenor Matias Pessoa, 100, Potim - SP, 12525-298",0,,0,-,,-2.284.010,-4.525.176,0,0,0,0,0,0,0,0,-22.8401,-45.25176
POTIRENDABA,354080,GVE 29 SAO JOSE DO RIO PRETO,HOSPITAL ASSISTENCIAL MARIA CAVALOTTI NEVES POTIRENDABA,"Av. Anna J. P. García, 430 - Vila Scarpelli, Potirendaba - SP, 15105-000",0,,1,(17) 3827-8400,,-2.104.247,-4.937.659,0,0,0,0,0,0,0,0,-21.04247,-49.37659
PRACINHA,354085,GVE 19 MARILIA,UBS DE PRACINHA,"ISAAC GUIMARÃES NOVAIS, 89 - Centro, Pracinha - SP, 17790-000",0,,0,(18) 3552-1140,,-2.185.368,-5.108.541,0,0,0,0,0,0,0,0,-21.85368,-51.08541
PRADOPOLIS,354090,GVE 24 RIBEIRAO PRETO,PRONTO ATENDIMENTO MUNICIPAL VALDEMAR BALATORE,"R. Treze de Maio, 788, Pradópolis - SP, 14850-000",0,,1,(16) 3981-9500,,-2.136.439,-4.806.445,0,0,0,0,0,0,0,0,-21.36439,-48.06445
PRAIA GRANDE,354100,GVE 25 SANTOS,PS QUIETUDE,"AV. MINISTRO MARCOS FREIRE, S/N, JD. QUIETUDE",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(13) 3471-4221,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.401.984,-4.647.764,1,1,0,0,1,1,1,0,-24.01984,-46.47764
PRATANIA,354105,GVE 16 BOTUCATU,CENTRO DE SAUDE BENEDITO DE SOUZA PRATANIA,"Av. Padre José Marins, Pratânia - SP, 18660-000",0,,0,(14) 3844-8210,,-2.280.940,-4.866.493,0,0,0,0,0,0,0,0,-22.8094,-48.66493
PRESIDENTE ALVES,354110,GVE 15 BAURU,UBS II DE PRESIDENTE ALVES,"R. Rui Barbosa, 45, Pres. Alves - SP, 16670-000",0,,1,(14) 3587-1459,,-2.209.933,-4.943.800,0,0,0,0,0,0,0,0,-22.09933,-49.438
PRESIDENTE BERNARDES,354120,GVE 21 PRESIDENTE PRUDENTE,HOSPITAL DE MISERICORDIA NOSSA SENHORA APARECIDA,"R. Dr. Arthur Falcone, 737 - VIL SAO VICENTE, Pres. Bernardes - SP, 19300-000",0,,1,(18) 3262-1415,,-2.200.764,-5.155.321,0,0,0,0,0,0,0,0,-22.00764,-51.55321
PRESIDENTE EPITACIO,354130,GVE 22 PRESIDENTE VENCESLAU,SANTA CASA DE MISERICÓRDIA - PRESIDENTE EPITACIO,"R. ANTONIO VENÂNCIO LOPES, Nº 09 - 52",1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(18) 3251-8010,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.177.395,-5.211.140,1,1,0,0,1,1,1,0,-21.77395,-52.1114
PRESIDENTE PRUDENTE,354140,GVE 21 PRESIDENTE PRUDENTE,HOSPITAL UNIVERSITÁRIO (HOSP. REGIONAL),"RUA JOSÉ BOGIOVANI, Nº 900",1,"Botrópico, Crotálico, Elapídico, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(18) 3229-1500,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.213.220,-5.140.756,1,1,1,0,1,1,1,1,-22.1322,-51.40756
PRESIDENTE PRUDENTE,354140,GVE 21 PRESIDENTE PRUDENTE,SANTA CASA DE MISERICÓRDIA - PRESIDNTE PRUDENTE,"RUA VENCESLAU BRAZ, Nº 05",1,"Botrópico, Crotálico, Elapídico, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(18) 2101-8000,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.212.936,-5.139.257,1,1,1,0,1,1,1,1,-22.12936,-51.39257
PRESIDENTE VENCESLAU,354150,GVE 22 PRESIDENTE VENCESLAU,SANTA CASA DE MISERICÓRDIA - PRESIDENTE VENCESLAU,RUA EMILIANO VILANOVA Nº 66,1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(18) 3271-2411,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.187.156,-5.184.164,1,1,0,0,1,1,1,0,-21.87156,-51.84164
PROMISSAO,354160,GVE 15 BAURU,HOSPITAL GERAL PREFEITO MIGUEL MARTIN GUALDA DE PROMISSAO,"Av. Gen. Euríco Gaspar Dutra, 620 - Centro, Promissão - SP, 16370-000",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(14) 3541-0644,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.154.195,-4.986.084,1,1,0,0,1,1,1,0,-21.54195,-49.86084
QUADRA,354165,GVE 31 SOROCABA,UBS ORLANDO DE OLIVEIRA,"Rua Joaquim Paifer Sobrinho, 256 - Centro, Quadra - SP, 18255-000",0,,0,(15) 3253-9030,,-2.330.099,-4.805.840,0,0,0,0,0,0,0,0,-23.30099,-48.0584
QUATA,354170,GVE 21 PRESIDENTE PRUDENTE,PRONTO SOCORRO MUNICIPAL AGRIPINO DE OLIVEIRA LIMA FILHO,"Av. Dr. Rodolpho Sebastião Giorgi, 307, Quatá - SP, 19780-000",0,,1,(18) 3366-1075,,-2.225.141,-5.069.731,0,0,0,0,0,0,0,0,-22.25141,-50.69731
QUEIROZ,354180,GVE 19 MARILIA,UBS MARIA AFONSO DA SILVA,"R. Odilon Batista da Silva - Vila Nova, Queiroz - SP, 17590-000",0,,0,-,,-2.180.236,-5.023.923,0,0,0,0,0,0,0,0,-21.80236,-50.23923
QUELUZ,354190,GVE 33 TAUBATE,HOSPITAL MUNICIPAL DE QUELUZ,"R. Nossa Sra. de Fátima, 65, Queluz - SP, 12800-000",0,,1,(12) 3147-1560,,-2.253.855,-4.477.287,0,0,0,0,0,0,0,0,-22.53855,-44.77287
QUINTANA,354200,GVE 19 MARILIA,SANTA CASA DE QUINTANA,"Av. Santos, 417, Quintana - SP, 17670-000",0,,1,(14) 3488-1156,,-2.207.067,-5.030.658,0,0,0,0,0,0,0,0,-22.07067,-50.30658
RAFARD,354210,GVE 20 PIRACICABA,UNIDADE BASICA DE SAUDE MARIA TEREZA APPRILANTE GIMENEZ,"Avenida Dr - Av. José Soares de Faria, 452 - Popular de Rafard, Rafard - SP, 13370-000",0,,0,(19) 3496-7230,,-2.301.671,-4.752.904,0,0,0,0,0,0,0,0,-23.01671,-47.52904
RANCHARIA,354220,GVE 21 PRESIDENTE PRUDENTE,HOSPITAL E MATERNIDADE,"RUA MÁRIO CÉSAR DE CAMARGO, 1559",1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(18) 3265-1511,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.223.326,-5.089.682,1,1,0,0,1,1,1,0,-22.23326,-50.89682
REDENCAO DA SERRA,354230,GVE 33 TAUBATE,CENTRO DE SAUDE III DE REDENCAO DA SERRA,"R. Vinte e Oito de Agosto, 57, Redenção da Serra - SP, 12170-000",0,,0,(12) 3676-1428,,-2.328.028,-4.553.441,0,0,0,0,0,0,0,0,-23.28028,-45.53441
REGENTE FEIJO,354240,GVE 21 PRESIDENTE PRUDENTE,HOSPITAL E MATERNIDADE REGIONAL REGENTE FEIJO,"R. Brg. Tobias, 300 - Reg. Feijó, SP, 19570-000",0,,1,(18) 3279-1233,,-2.221.855,-5.130.454,0,0,0,0,0,0,0,0,-22.21855,-51.30454
REGINOPOLIS,354250,GVE 15 BAURU,CENTRO DE SAUDE III REGINOPOLIS,"AVENIDA PADRE ANCHIETA, 441",0,,1,(14) 3589-9100,,-2.189.029,-4.922.001,0,0,0,0,0,0,0,0,-21.89029,-49.22001
REGISTRO,354260,GVE 23 REGISTRO,HOSPITAL SÃO JOÃO,"RUA KIHEIJI NASUNO, 165 - CENTRO",1,"Botrópico e Loxoscélico, Fonêutrico.",1,(13) 3821-1111,JARARACA; ARANHA MARROM; ARANHA ARMADEIRA.,-2.448.701,-4.784.666,1,0,0,0,1,1,0,0,-24.48701,-47.84666
REGISTRO,354260,GVE 23 REGISTRO,HOSPITAL REGIONAL DE REGISTRO,"RODOVIA REGIS BITENCOURT, S/Nº KM499",1,"Botrópico, Crotálico, Elapídico e Lonômico",1,(13) 3500-8944,JARARACA; CASCAVEL; CORAL; LONÔMIA.,-2.453.032,-4.785.628,1,1,1,0,0,0,0,1,-24.53032,-47.85628
REGISTRO,354260,GVE 23 REGISTRO,UNIDADE DE PRONTO ATENDIMENTO,"AVENIDA NELSON BRIHI BADUR, 605 - VILA SÃO NICOLAU",1,Escorpiônico,1,(13) 3821-3155,ESCORPIÃO.,-2.450.316,-4.785.297,0,0,0,0,0,0,1,0,-24.50316,-47.85297
RESTINGA,354270,GVE 18 FRANCA,CS III RESTINGA,"R. Olívia Martins Ferreira, 620, Restinga - SP, 14430-000",0,,1,(16) 3143-1109,,-2.060.280,-4.748.046,0,0,0,0,0,0,0,0,-20.6028,-47.48046
RIBEIRA,354280,GVE 32 ITAPEVA,UNIDADE DE PRONTO ATENDIMENTO UPA,"R. Frederico Dias Batista, 306 - Centro, Ribeira - SP, 18380-000",0,,1,(15) 3555-1177,,-2.465.881,-4.900.910,0,0,0,0,0,0,0,0,-24.65881,-49.0091
RIBEIRAO BONITO,354290,GVE 12 ARARAQUARA,SANTA CASA DE MISERICORDIA RIBEIRAO BONITO,"R. Hortência, 120 - Jardim Primavera, Ribeirão Bonito - SP, 13580-000",0,,1,(16) 3344-1744,,-2.207.262,-4.817.681,0,0,0,0,0,0,0,0,-22.07262,-48.17681
RIBEIRAO BRANCO,354300,GVE 32 ITAPEVA,HOSP. MUNICIPAL MARIA ROSA CARDOSO,"RUA CAPITÃO ELIAS PEREIRA, Nº1.245",1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(15) 3553-1144 E (15) 99716-4744,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.422.585,-4.876.798,1,1,0,0,1,1,1,0,-24.22585,-48.76798
RIBEIRAO CORRENTE,354310,GVE 18 FRANCA,UBS RIBEIRAO CORRENTE,"Rua Joaquim Policarpo da Silva, 1250, Ribeirão Corrente - SP, 14445-000",0,,0,(16) 3749-1192,,-2.046.188,-4.758.891,0,0,0,0,0,0,0,0,-20.46188,-47.58891
RIBEIRAO DO SUL,354320,GVE 13 ASSIS,CENTRO DE SAUDE DE RIBEIRAO DO SUL REMEDIOS BERTOLLI,"R. Antônio da Palma, 201, Ribeirão do Sul - SP, 19930-000",0,,1,(14) 3379-1152,,-2.278.514,-4.993.214,0,0,0,0,0,0,0,0,-22.78514,-49.93214
RIBEIRAO DOS INDIOS,354323,GVE 21 PRESIDENTE PRUDENTE,UBS II DO RIBEIRAO DOS INDIOS,"Rua João Defende, 95 - Centro, Ribeirão dos Índios - SP, 19380-000",0,,0,(18) 3261-6124,,-2.183.607,-5.160.295,0,0,0,0,0,0,0,0,-21.83607,-51.60295
RIBEIRAO GRANDE,354325,GVE 31 SOROCABA,UNIDADE DE SAUDE DA FAMILIA RIBEIRAO GRANDE,"R. Joaquim da Cruz, 130 - Centro, Ribeirão Grande - SP, 18315-000",0,,0,(15) 3554-1109,,-2.409.759,-4.836.232,0,0,0,0,0,0,0,0,-24.09759,-48.36232
RIBEIRAO PIRES,354330,GVE 7 SANTO ANDRE,HOSPITAL RIBEIRAO PIRES,"R. Dr. Nicolau Assef, 52 - Centro Alto, Ribeirão Pires - SP, 09424-070",0,,1,(11) 4827-1000,,-2.371.362,-4.642.023,0,0,0,0,0,0,0,0,-23.71362,-46.42023
RIBEIRAO PRETO,354340,GVE 24 RIBEIRAO PRETO,HOSP. CLÍNICAS FMRP - USP,"RUA BERNARDINO DE CAMPOS, 1.000, CENTRO",1,"Botrópico, Crotálico, Elapídico, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(16) 3602-1190 / 1149,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.116.241,-4.785.371,1,1,1,0,1,1,1,1,-21.16241,-47.85371
RIFAINA,354360,GVE 18 FRANCA,CS DE RIFAINA,"R. Moacir Vedovato, 23, Rifaina - SP, 14490-000",0,,0,(16) 3135-1174,,-2.008.202,-4.742.951,0,0,0,0,0,0,0,0,-20.08202,-47.42951
RINCAO,354370,GVE 12 ARARAQUARA,PRONTO SOCORRO MUNICIPAL RINCAO,"Av. Prudente de Morais, 126-192, Rincão - SP, 14830-000",0,,1,(16) 3395-1256,,-2.158.732,-4.807.277,0,0,0,0,0,0,0,0,-21.58732,-48.07277
RINOPOLIS,354380,GVE 19 MARILIA,HOSPITAL SAO PAULO DE RINOPOLIS,"R. Francisco L Munhoz, Rinópolis - SP, 17740-000",0,,1,(18) 3583-1281,,-2.172.988,-5.072.635,0,0,0,0,0,0,0,0,-21.72988,-50.72635
RIO CLARO,354390,GVE 20 PIRACICABA,UNIDADE DE URGÊNCIA E EMERGÊNCIA NOSSA SENHORA DE LOURDES,"AV. 15, Nº 297",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(19) 3533-5484,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.241.558,-4.755.711,1,1,0,0,1,1,1,0,-22.41558,-47.55711
RIO DAS PEDRAS,354400,GVE 20 PIRACICABA,HOSPITAL SAO VICENTE DE PAULO,"R. São Vicente de Paula, 60 - CENTRO, Rio das Pedras - SP, 13390-000",0,,1,(19) 3493-6482,,-2.284.716,-4.760.822,0,0,0,0,0,0,0,0,-22.84716,-47.60822
RIO GRANDE DA SERRA,354410,GVE 7 SANTO ANDRE,UBS CENTRAL DE RIO GRANDE DA SERRA,"Rua Prefeito Cido Franco, 500 - Jardim Maria Paula, Rio Grande da Serra - SP, 09450-000",0,,0,(11) 4820-8020,,-2.374.218,-4.639.630,0,0,0,0,0,0,0,0,-23.74218,-46.3963
RIOLANDIA,354420,GVE 29 SAO JOSE DO RIO PRETO,SANTA CASA DE MISERICÓRDIA - RIOLANDIA,RUA 10 S/N,1,Escorpiônico,1,(17) 3291-1588,ESCORPIÃO.,-1.998.193,-4.967.779,0,0,0,0,0,0,1,0,-19.98193,-49.67779
RIVERSUL,354350,GVE 32 ITAPEVA,PRONTO ATENDIMENTO MUNICIPAL RIVERSUL,"R. Elvira Biglia, 11 - SP",0,,1,(15) 0571-1534,,-2.383.263,-4.943.077,0,0,0,0,0,0,0,0,-23.83263,-49.43077
ROSANA,354425,GVE 22 PRESIDENTE VENCESLAU,HOSPITAL REGIONAL DE PORTO PRIMAVERA,"RUA DO HOSPITAL, S/N",1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(18) 3284-9500,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.253.027,-5.295.003,1,1,0,0,1,1,1,0,-22.53027,-52.95003
ROSEIRA,354430,GVE 33 TAUBATE,UNIDADE MISTA DE SAUDE DE ROSEIRA DR PAULO GUIMARAES CASTRO,"R. Roque Viêira, Roseira - SP, 12580-000",0,,0,(12) 3646-9440,,-2.289.924,-4.530.368,0,0,0,0,0,0,0,0,-22.89924,-45.30368
RUBIACEA,354440,GVE 11 ARACATUBA,UBS III DE RUBIACEA,"R. Francisco de Paula Leite, 208, Rubiácea - SP, 16750-000",0,,0,(18) 3697-1128,,-2.130.050,-5.073.129,0,0,0,0,0,0,0,0,-21.3005,-50.73129
RUBINEIA,354450,GVE 30 JALES,CS DE RUBINEIA,"Av. Olavo Bilac, 791 - Rubinéia, SP, 15790-000",0,,0,(17) 3661-1399,,-2.017.218,-5.099.863,0,0,0,0,0,0,0,0,-20.17218,-50.99863
SABINO,354460,GVE 15 BAURU,CS III DE SABINO,"Av. Paes Leme, 735, Sabino - SP, 16440-000",0,,1,(14) 3546-9101,,-2.145.949,-4.958.021,0,0,0,0,0,0,0,0,-21.45949,-49.58021
SAGRES,354470,GVE 19 MARILIA,USF DE SAGRES,"R. Ver. Francisco Pereira, 340 - Centro, Sagres - SP, 17710-000",0,,0,-,,-2.188.374,-5.095.570,0,0,0,0,0,0,0,0,-21.88374,-50.9557
SALES,354480,GVE 29 SAO JOSE DO RIO PRETO,UBS APARECIDA ALVES GOMES GORNI,"R. Gabriel Assad, Sales - SP, 14980-000",0,,1,-,,-2.133.851,-4.949.355,0,0,0,0,0,0,0,0,-21.33851,-49.49355
SALES OLIVEIRA,354490,GVE 18 FRANCA,HOSPITAL SANTA RITA DE SALES OLIVEIRA,"R. Sete de Setembro, 589 - Centro, Sales Oliveira - SP, 14660-000",0,,1,(16) 3852-9999,,-2.077.149,-4.783.557,0,0,0,0,0,0,0,0,-20.77149,-47.83557
SALESOPOLIS,354500,GVE 8 MOGI DAS CRUZES,SANTA CASA DE MISERICÓRDIA - SALESOPOLIS,"RUA PRAÇA JOÃO MENDES,31",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico,  Escorpiônico e Lonômico.",1,(11) 4696-1411,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.353.236,-4.584.589,1,1,0,0,1,1,1,1,-23.53236,-45.84589
SALMOURAO,354510,GVE 19 MARILIA,UBS DE SALMOURAO ARNALDO RABASSI,"R. Moacir dos Réis, 495 - Centro, Salmourão - SP, 17720-000",0,,0,(18) 3557-1149,,-2.162.086,-5.086.331,0,0,0,0,0,0,0,0,-21.62086,-50.86331
SALTINHO,354515,GVE 20 PIRACICABA,UNIDADE BASICA DE SAUDE DE SALTINHO,"R. Prof. Paulo da Silva Coelho, 637 - Centro, Saltinho - SP, 13440-000",0,,1,(19) 3439-7710,,-2.284.377,-4.767.690,0,0,0,0,0,0,0,0,-22.84377,-47.6769
SALTO,354520,GVE 31 SOROCABA,HOSPITAL E MATERNIDADE MUNICIPAL NOSSA SENHORA DO MONTE SERRAT,"R. Europa, 1575 - Jardim Celani, Salto - SP, 13326-110",0,,1,(11) 4602-9000,,-2.319.101,-4.731.159,0,0,0,0,0,0,0,0,-23.19101,-47.31159
SALTO DE PIRAPORA,354530,GVE 31 SOROCABA,SANTA CASA SALTO DE PIRAPORA,"Av. Carlos Chagas, 67 - Centro, Salto de Pirapora - SP, 18160-000",0,,1,(15) 3491-9211,,-2.365.574,-4.757.417,0,0,0,0,0,0,0,0,-23.65574,-47.57417
SALTO GRANDE,354540,GVE 13 ASSIS,SANTA CASA DE SALTO GRANDE,"R. Olímpio Pímentel, 2, Salto Grande - SP, 19920-000",0,,1,(14) 3378-1144,,-2.288.695,-4.998.464,0,0,0,0,0,0,0,0,-22.88695,-49.98464
