MUNICIPIO,ID_MUNICIP,GVE,UNIDADE_DE_SAUDE,ENDERECO,TEM_SORO,TIPO_SORO,24H,TELEFONE,ACIDENTES,LATITUDE,LONGITUDE,BOTROPICO,CROTALICO,ELAPIDICO,LAQUETICO,LOXOSCELICO,FONEUTRICO,ESCORPIONICO,LONOMICO,lat,lon
IPEUNA,352110,GVE 20 PIRACICABA,UNIDADE BASICA DE SAUDE DE IPEUNA,"R. Araripe Custódio da Fonseca, 1100, Ipeúna - SP, 13537-000",0,,1,(19) 3537-9230,,-2.243.235,-4.770.598,0,0,0,0,0,0,0,0,-22.43235,-47.70598
IPIGUA,352115,GVE 29 SAO JOSE DO RIO PRETO,UBS LUIS FACHIN IPIGUA,"Rua Geraldina Dutra Salvador, 700 - Conjunto Habitacional Divino Sebastião Moreira, Ipiguá - SP, 15108-180",0,,1,(17) 3269-9003,,-2.065.404,-4.938.395,0,0,0,0,0,0,0,0,-20.65404,-49.38395
IPORANGA,352120,GVE 23 REGISTRO,PRONTO ATENDIMENTO LAURO TAVARES DE LIMA,"RUA 12 DE JANEIRO, 17 - CENTRO",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(15) 3556-1584,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.458.677,-4.859.711,1,1,0,0,1,1,1,0,-24.58677,-48.59711
IPUA,352130,GVE 18 FRANCA,SANTA CASA DE MISERICÓRDIA - IPUA,"R. FERDINANDO FRATIN, 335",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(16) 3832-1222,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.043.685,-4.801.150,1,1,0,0,1,1,1,0,-20.43685,-48.0115
IRACEMAPOLIS,352140,GVE 20 PIRACICABA,PRONTO SOCORRO SANTA CRUZ DE IRACEMAPOLIS,"Rua Alcides Oliveira Frasson, 400 - Jardim Antonio Joaquim Fagundes, Iracemápolis - SP, 13495-000",0,,1,(19) 3456-1205,,-2.258.754,-4.750.948,0,0,0,0,0,0,0,0,-22.58754,-47.50948
IRAPUA,352150,GVE 29 SAO JOSE DO RIO PRETO,UNIDADE BASICA DE SAUDE MARIO EVARISTO TADEI,"R. Afonso Pena, 450 - Centro, Irapuã - SP, 14990-000",0,,1,-,,-2.128.357,-4.940.982,0,0,0,0,0,0,0,0,-21.28357,-49.40982
IRAPURU,352160,GVE 22 PRESIDENTE VENCESLAU,CENTRO DE SAUDE - IRAPURU,"R. São Paulo, 165-291 - Centro, Irapuru - SP, 17880-000",0,,0,(18) 3861-2220,,-2.156.817,-5.134.889,0,0,0,0,0,0,0,0,-21.56817,-51.34889
ITABERA,352170,GVE 32 ITAPEVA,HOSPITAL MUNICIPAL - ITABERA,"R. VINTE E TRÊS DE MAIO, 385 - CENTRO",1,"Botrópico, Crotálico, Escorpiônico, Loxoscélico, Fonêutrico.",1,(15) 3562-1336 E (15) 99766-0948,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.386.437,-4.913.770,1,1,0,0,1,1,1,0,-23.86437,-49.1377
ITAI,352180,GVE 16 BOTUCATU,IRMANDADE DA SANTA CASA DE MISERICORDIA DE ITAI,"SP-255, km 363 - Jardim Monte Alto, Itaí - SP, 18730-000",0,,1,(14) 3761-1565,,-2.341.985,-4.909.905,0,0,0,0,0,0,0,0,-23.41985,-49.09905
ITAJOBI,352190,GVE 29 SAO JOSE DO RIO PRETO,IRMANDADE DE MISERICORDIA HOSPITAL SAO JOSE DE ITAJOBI,"R. Rio Branco, 251 - Itajobi, SP, 15840-000",0,,1,(17) 3546-1913,,-2.131.836,-4.905.591,0,0,0,0,0,0,0,0,-21.31836,-49.05591
ITAJU,352200,GVE 15 BAURU,CENTRO DE SAUDE III FLORENCIO CAMARGO GUIMARAES ITAJU,"AV JOAO ZAMBONE ASPARETTO, 261",0,,0,(14) 3667-1238,,-2.198.262,-4.880.449,0,0,0,0,0,0,0,0,-21.98262,-48.80449
ITANHAEM,352210,GVE 25 SANTOS,UPA ITANHAÉM,"R. JOSÉ ERNESTO BECHELLI, S/N. JD. SABAÚNA",1,"Botrópico, Crotálico, Elapídico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(13) 3427-1111,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.418.359,-4.681.695,1,1,1,0,1,1,1,0,-24.18359,-46.81695
ITAOCA,352215,GVE 32 ITAPEVA,UNIDADE BASICA DE SAUDE DA FAMILIA ITAOCA,"R. Emerentino Rodrigues da Silva, 2-34 - Centro, Itaoca - SP, 18360-000",0,,0,-,,-2.464.261,-4.883.861,0,0,0,0,0,0,0,0,-24.64261,-48.83861
ITAPECERICA DA SERRA,352220,GVE 10 OSASCO,PRONTO SOCORRO CENTRAL - ITAPECERICA DA SERRA,"R. CARLOS EDUARDO D. TAUTICO, Nº 77",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(11) 4668-6803,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.371.099,-4.684.903,1,1,0,0,1,1,1,0,-23.71099,-46.84903
ITAPETININGA,352230,GVE 31 SOROCABA,HOSPITAL REGIONAL DE ITAPETININGA,"R. PADRE ALBUQUERQUE , 245 - CENTRO",1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(15) 3275-7800,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.358.458,-4.804.513,1,1,0,0,1,1,1,0,-23.58458,-48.04513
ITAPEVA,352240,GVE 32 ITAPEVA,SANTA CASA DE MISERICÓRDIA DE ITAPEVA,"RUA SANTOS DUMONT, Nº 433 - CENTRO",1,"Botrópico, Crotálico, Elapídico, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(15) 3521-9500 E (15) 99763-8307,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.398.829,-4.887.707,1,1,1,0,1,1,1,1,-23.98829,-48.87707
ITAPEVI,352250,GVE 10 OSASCO,HOSPITAL GERAL DE ITAPEVI,"RUA JESUINO JOAQUIM DA SILVA, S/N – JD. NOVA ITAPEVI",1,Escorpiônico,1,(11) 4143-8600,ESCORPIÃO.,-2.353.774,-4.694.267,0,0,0,0,0,0,1,0,-23.53774,-46.94267
ITAPIRA,352260,GVE 26 SAO JOAO DA BOA VISTA,HOSPITAL MUNICIPAL DE ITAPIRA,"R. REVERENDO ALFREDO GUIMARÃES, 111",1,"Botrópico, Crotálico, Elapídico, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(19) 3913-9393,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.243.176,-4.682.686,1,1,1,0,1,1,1,1,-22.43176,-46.82686
ITAPIRAPUA PAULISTA,352265,GVE 32 ITAPEVA,UNIDADE BÁSICA DE SAÚDE DA FAMÍLIA - ITAPIRAPUA PAULISTA,RUA JANUÁRIO DE ALMEIDA 51,1,"Escorpiônico e Loxoscélico, Fonêutrico.",0,(15) 3548-1310,ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.457.234,-4.916.990,0,0,0,0,1,1,1,0,-24.57234,-49.1699
ITAPOLIS,352270,GVE 12 ARARAQUARA,SANTA CASA DE MISERICÓRDIA DE ITÁPOLIS,"RUA ANTONIO COMPAGNO, 411, CENTRO",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(16) 3263-9500,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.159.399,-4.880.547,1,1,0,0,1,1,1,0,-21.59399,-48.80547
