ANT_TEMPO_,TP_ACIDENT,ID_MUNICIP,nome_destino,cod_macro_destino,macro_destino,cod_RS_destino,RS_destino,lat_destino,lon_destino,ANT_MUNIC_,nome_origem,cod_macro_origem,macro_origem,cod_RS_origem,RS_origem,lat_origem,lon_origem,distancia_km,total_ocorrencias
1.0,1.0,350400,Assis,3533,RRAS10,35092,ASSIS,-22.66,-50.4183,351610.0,Florínia,3533,RRAS10,35092,ASSIS,-22.868,-50.6814,35.505858455603104,1
1.0,1.0,350400,Assis,3533,RRAS10,35092,ASSIS,-22.66,-50.4183,351950.0,Ibirarema,3533,RRAS10,35094,OURINHOS,-22.8185,-50.0739,39.491264547813245,1
1.0,1.0,350400,Assis,3533,RRAS10,35092,ASSIS,-22.66,-50.4183,352790.0,Lutécia,3533,RRAS10,35092,ASSIS,-22.3384,-50.394,35.7007104072486,3
1.0,1.0,350400,Assis,3533,RRAS10,35092,ASSIS,-22.66,-50.4183,352880.0,Maracaí,3533,RRAS10,35092,ASSIS,-22.6149,-50.6713,26.48216126545985,4
1.0,1.0,350400,Assis,3533,RRAS10,35092,ASSIS,-22.66,-50.4183,353530.0,Palmital,3533,RRAS10,35092,ASSIS,-22.7858,-50.218,24.849266919157085,3
1.0,1.0,350400,Assis,3533,RRAS10,35092,ASSIS,-22.66,-50.4183,353715.0,Pedrinhas Paulista,3533,RRAS10,35092,ASSIS,-22.8174,-50.7933,42.27975170454552,1
1.0,1.0,350400,Assis,3533,RRAS10,35092,ASSIS,-22.66,-50.4183,353970.0,Platina,3533,RRAS10,35092,ASSIS,-22.6371,-50.2104,21.519160052530257,4
1.0,1.0,350410,Atibaia,3527,RRAS16,35071,BRAGANCA,-23.1171,-46.5563,350710.0,Bom Jesus dos Perdões,3527,RRAS16,35071,BRAGANCA,-23.1356,-46.4675,9.323399972793553,1
1.0,1.0,350410,Atibaia,3527,RRAS16,35071,BRAGANCA,-23.1171,-46.5563,352520.0,Jarinu,3527,RRAS16,35073,JUNDIAI,-23.1039,-46.728,17.64940086277016,1
1.0,1.0,350410,Atibaia,3527,RRAS16,35071,BRAGANCA,-23.1171,-46.5563,353240.0,Nazaré Paulista,3527,RRAS16,35071,BRAGANCA,-23.1747,-46.3983,17.393078758803103,5
1.0,1.0,350410,Atibaia,3527,RRAS16,35071,BRAGANCA,-23.1171,-46.5563,353860.0,Piracaia,3527,RRAS16,35071,BRAGANCA,-23.0525,-46.3594,21.405001502942778,3
1.0,1.0,350420,Auriflama,3531,RRAS12,35021,CENTRAL DO DRS II,-20.6836,-50.5572,351690.0,General Salgado,3531,RRAS12,35157,VOTUPORANGA,-20.6485,-50.364,20.50305248886169,5
1.0,1.0,350420,Auriflama,3531,RRAS12,35021,CENTRAL DO DRS II,-20.6836,-50.5572,351890.0,Guzolândia,3531,RRAS12,35021,CENTRAL DO DRS II,-20.6467,-50.6645,11.903698921453229,17
1.0,1.0,350420,Auriflama,3531,RRAS12,35021,CENTRAL DO DRS II,-20.6836,-50.5572,353100.0,Monções,3531,RRAS12,35157,VOTUPORANGA,-20.8509,-50.0975,51.32746376018117,1
1.0,1.0,350420,Auriflama,3531,RRAS12,35021,CENTRAL DO DRS II,-20.6836,-50.5572,354805.0,Santo Antônio do Aracanguá,3531,RRAS12,35021,CENTRAL DO DRS II,-20.9331,-50.498,28.302410871432,10
